TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating
356,763,2023,6,Solo,20,3.6
357,928,2024,5,Family,52,3.5
358,192,2022,8,Business,8,3.5
359,39,2022,4,Friends,28,3.5
360,960,2024,8,Couples,38,4.0
361,471,2023,7,Friends,22,3.1
362,192,2025,8,Family,10,4.1
363,112,2023,7,Business,60,2.5
364,825,2023,5,Family,55,3.5
365,777,2022,9,Family,22,4.6
366,399,2024,7,Friends,15,4.3
367,849,2022,8,Couples,32,3.8
368,720,2024,12,Family,73,2.8
369,211,2024,9,Solo,60,2.6
370,708,2022,8,Couples,59,3.2
371,849,2024,9,Family,6,3.6
372,551,2022,11,Business,72,4.5
373,422,2022,3,Couples,92,4.1
374,406,2022,6,Solo,96,3.5
375,72,2022,6,Couples,62,3.4
376,699,2022,11,Friends,76,4.6
377,255,2023,4,Friends,69,3.3
378,762,2024,6,Friends,84,3.3
379,557,2023,1,Family,42,3.4
380,481,2024,1,Couples,1,4.1
381,328,2022,7,Couples,91,3.3
382,699,2024,5,Family,13,3.3
383,473,2025,7,Family,61,5.0
384,871,2025,2,Couples,13,2.8
385,94,2022,11,Business,82,3.4
386,936,2025,9,Family,83,3.0
387,364,2022,7,Family,95,4.3
388,649,2024,1,Friends,54,3.5
389,843,2025,9,Couples,98,4.9
390,953,2025,11,Couples,8,3.7
391,321,2023,3,Friends,42,4.0
392,416,2022,5,Friends,93,3.5
393,568,2023,2,Couples,6,3.5
394,712,2024,3,Couples,49,4.9
395,817,2024,2,Friends,21,3.7
396,273,2024,8,Couples,6,4.0
397,962,2024,5,Solo,38,3.2
398,299,2023,4,Friends,36,4.5
399,977,2024,12,Solo,100,3.0
400,872,2024,12,Couples,56,2.9
401,210,2025,1,Solo,48,3.5
402,900,2025,11,Business,38,3.0
403,912,2025,8,Couples,56,4.4
404,579,2023,6,Friends,24,3.7
405,282,2025,8,Family,20,3.1
406,162,2024,2,Solo,87,5.0
407,471,2024,7,Business,4,5.0
408,899,2022,4,Friends,21,3.5
409,726,2023,1,Business,85,4.0
410,878,2024,9,Couples,52,3.9
411,889,2023,1,Business,5,3.2
412,739,2025,7,Friends,86,3.9
413,552,2022,4,Business,10,4.1
414,5,2024,5,Business,53,4.2
415,237,2022,9,Solo,93,4.3
416,819,2024,12,Couples,30,4.5
417,935,2022,11,Friends,90,2.7
418,732,2022,7,Solo,94,4.1
419,981,2024,2,Business,56,3.9
420,439,2025,5,Family,22,3.6
421,833,2023,6,Solo,63,3.6
422,611,2025,1,Couples,80,3.9
423,602,2022,6,Family,13,4.7
424,366,2024,8,Friends,14,3.8
425,822,2022,1,Couples,27,3.4
426,407,2023,10,Solo,89,4.0
427,986,2023,6,Friends,20,2.7
428,249,2023,7,Family,14,4.6
429,887,2024,11,Business,15,4.5
430,916,2024,10,Friends,100,4.7
431,872,2022,1,Solo,24,3.8
432,164,2023,10,Family,13,4.2
433,933,2024,4,Family,79,3.5
434,864,2024,3,Couples,66,3.4
435,792,2024,9,Couples,15,2.2
436,125,2025,3,Business,57,3.3
437,230,2023,5,Friends,18,3.0
438,382,2024,5,Business,45,2.3
439,952,2022,7,Family,4,2.7
440,890,2022,5,Solo,96,3.5
441,6,2024,10,Business,63,4.9
442,901,2023,8,Friends,32,3.3
443,534,2025,6,Friends,65,3.9
444,599,2022,2,Business,14,3.6
445,233,2024,10,Family,73,3.3
446,256,2023,9,Couples,87,3.1
447,237,2023,10,Business,25,3.2
448,937,2023,3,Family,25,3.6
449,738,2024,11,Business,10,3.5
450,576,2025,9,Family,2,3.4
451,54,2025,1,Business,75,4.1
452,656,2022,12,Couples,6,4.3
453,239,2023,12,Couples,48,3.7
454,474,2024,11,Family,59,3.8
455,72,2024,7,Family,7,3.7
456,766,2022,1,Couples,43,3.4
457,981,2022,10,Business,8,2.4
458,76,2024,10,Friends,30,3.4
459,180,2022,3,Family,37,4.2
460,461,2025,5,Friends,21,5.0
461,285,2022,6,Couples,20,3.1
462,146,2023,4,Family,69,3.6
463,787,2023,11,Family,87,4.2
464,948,2022,7,Business,36,3.6
465,550,2025,9,Business,70,3.1
466,517,2024,11,Couples,20,3.9
467,954,2022,12,Business,68,4.2
468,441,2022,3,Solo,85,4.6
469,288,2024,4,Family,66,4.9
470,864,2025,7,Solo,16,4.6
471,107,2022,11,Family,88,3.1
472,618,2023,10,Solo,71,3.3
473,108,2023,11,Solo,19,4.4
474,12,2023,11,Family,67,4.1
475,962,2025,2,Family,49,2.6
476,793,2022,10,Friends,96,3.4
477,808,2022,8,Friends,97,4.0
478,468,2022,2,Couples,27,3.1
479,601,2025,8,Business,66,3.9
480,505,2025,4,Family,98,3.6
481,578,2024,12,Friends,65,5.0
482,569,2023,12,Family,78,3.7
483,340,2022,10,Family,24,4.1
484,150,2025,4,Friends,70,4.0
485,639,2022,4,Family,80,4.4
486,148,2023,3,Couples,18,3.5
487,877,2024,5,Friends,16,4.6
488,991,2023,12,Couples,78,5.0
489,599,2022,7,Business,14,3.7
490,773,2025,7,Friends,27,1.6
491,891,2024,11,Business,78,3.2
492,83,2023,7,Friends,54,4.7
493,909,2024,5,Family,84,3.9
494,790,2022,5,Couples,66,3.2
495,601,2024,1,Couples,72,3.8
496,925,2023,3,Solo,54,4.0
497,963,2024,10,Family,65,3.7
498,852,2025,3,Couples,70,2.4
499,188,2022,11,Business,35,2.7
500,679,2024,6,Solo,4,4.1
501,987,2024,12,Friends,45,3.7
502,877,2024,3,Couples,86,2.4
503,200,2023,3,Family,42,4.6
504,20,2024,7,Solo,56,5.0
505,207,2024,11,Family,95,5.0
506,942,2025,1,Solo,42,3.8
507,328,2025,6,Solo,59,3.3
508,563,2023,5,Couples,37,4.6
509,889,2022,6,Couples,13,3.9
510,480,2024,10,Family,49,4.0
511,438,2022,7,Couples,87,2.5
512,921,2022,3,Business,54,4.5
513,782,2024,12,Solo,78,2.4
514,93,2024,8,Solo,45,3.3
515,358,2022,6,Family,47,3.9
516,722,2023,10,Couples,41,4.2
517,496,2023,11,Couples,50,3.6
518,930,2022,4,Couples,4,3.1
519,730,2022,7,Family,4,3.9
520,765,2024,4,Family,24,4.5
521,635,2024,9,Couples,43,3.3
522,559,2024,4,Family,59,3.5
523,551,2023,10,Family,48,2.8
524,278,2023,12,Solo,75,3.8
525,804,2023,5,Couples,18,3.0
526,858,2023,6,Friends,87,4.6
527,712,2023,3,Family,24,4.3
528,761,2022,10,Friends,42,3.9
529,630,2024,7,Solo,94,3.3
530,271,2025,7,Couples,2,3.5
531,950,2024,7,Solo,18,2.9
532,929,2024,10,Family,59,3.4
533,891,2025,1,Family,82,3.8
534,503,2022,7,Couples,57,4.3
535,863,2024,12,Family,14,3.8
536,954,2023,5,Family,45,3.6
537,554,2025,11,Couples,53,3.4
538,925,2024,10,Couples,3,4.0
539,975,2023,12,Couples,35,1.7
540,904,2024,10,Business,8,5.0
541,900,2022,3,Business,51,5.0
542,496,2025,5,Business,9,5.0
543,15,2023,2,Couples,71,5.0
544,1,2024,8,Couples,10,4.2
545,985,2025,9,Business,50,3.8
546,937,2022,7,Solo,36,3.1
547,965,2022,2,Solo,43,3.6
548,315,2024,9,Business,60,3.4
549,56,2025,9,Family,27,3.9
550,976,2025,7,Couples,24,4.2
551,269,2022,4,Couples,69,4.2
552,813,2024,12,Business,47,4.5
553,114,2024,3,Solo,55,4.2
554,374,2025,8,Couples,45,3.6
555,563,2024,6,Couples,43,3.4
556,439,2025,12,Family,92,4.6
557,915,2024,4,Solo,28,3.9
558,610,2025,6,Family,99,3.5
559,343,2023,12,Friends,54,3.1
560,236,2024,6,Solo,55,3.6
561,744,2022,9,Couples,85,4.8
562,939,2025,11,Couples,23,3.0
563,463,2022,9,Couples,97,3.1
564,88,2025,3,Couples,47,3.3
565,50,2025,11,Couples,48,4.2
566,799,2023,8,Family,21,5.0
567,589,2024,4,Couples,49,5.0
568,937,2022,10,Business,66,2.8
569,134,2022,6,Business,75,3.3
570,771,2022,8,Business,99,3.6
571,960,2022,3,Solo,88,4.0
572,345,2023,3,Friends,16,4.6
573,25,2023,3,Couples,16,3.1
574,848,2023,2,Family,55,3.5
575,45,2022,10,Business,6,3.5
576,287,2023,9,Couples,10,4.1
577,956,2025,9,Family,88,4.5
578,621,2023,4,Couples,9,3.6
579,143,2022,4,Friends,99,4.5
580,623,2022,4,Solo,2,4.2
581,330,2024,9,Solo,61,3.6
582,611,2022,4,Family,42,4.1
583,268,2023,12,Friends,37,3.3
584,824,2024,7,Solo,60,4.6
585,487,2024,10,Friends,85,4.3
586,434,2025,7,Business,20,4.5
587,130,2022,10,Family,25,3.8
588,698,2023,11,Family,99,2.8
589,192,2024,6,Family,69,3.2
590,144,2022,4,Friends,88,3.4
591,492,2024,7,Business,55,4.7
592,542,2022,9,Solo,83,4.8
593,232,2025,2,Couples,51,4.0
594,703,2022,7,Solo,45,3.9
595,546,2022,6,Friends,36,3.9
596,921,2022,8,Couples,55,4.1
597,383,2025,3,Couples,98,3.8
598,688,2023,8,Couples,21,3.7
599,827,2024,4,Couples,72,4.2
600,621,2022,8,Friends,1,4.2
601,708,2024,3,Couples,35,3.9
602,731,2023,7,Couples,80,3.7
603,553,2023,5,Family,75,4.8
604,699,2024,5,Solo,81,2.5
605,3,2023,3,Friends,47,4.7
606,415,2022,12,Friends,95,4.5
607,663,2023,6,Solo,82,4.5
608,776,2024,9,Business,79,4.8
609,488,2022,4,Family,96,3.8
610,236,2022,2,Couples,78,4.0
611,967,2024,9,Business,93,4.0
612,568,2022,4,Family,94,3.4
613,757,2024,5,Friends,22,3.1
614,273,2023,7,Friends,80,5.0
615,597,2023,6,Couples,39,3.5
616,448,2024,9,Family,16,4.3
617,713,2023,9,Business,69,4.3
618,726,2023,7,Friends,22,5.0
619,251,2023,7,Solo,97,3.1
620,260,2024,11,Friends,82,3.7
621,161,2023,9,Friends,28,4.3
622,472,2022,8,Friends,56,3.2
623,973,2024,10,Solo,43,4.3
624,798,2023,4,Solo,98,4.6
625,248,2023,7,Friends,18,4.0
626,494,2025,2,Business,49,2.7
627,917,2023,9,Business,90,2.8
628,691,2025,4,Friends,70,3.4
629,934,2022,6,Couples,72,4.0
630,951,2024,6,Solo,60,2.9
631,126,2024,9,Family,29,3.5
632,402,2023,7,Couples,17,4.5
633,110,2023,3,Family,56,3.9
634,933,2024,1,Couples,65,4.7
635,949,2025,11,Solo,16,3.8
636,65,2023,11,Business,100,3.6
637,699,2024,12,Family,23,4.5
638,452,2023,7,Family,78,3.8
639,2,2023,1,Family,10,4.3
640,340,2023,5,Family,1,4.4
641,211,2023,1,Business,18,3.7
642,975,2022,7,Couples,36,4.1
643,185,2022,2,Friends,69,4.7
644,154,2024,3,Couples,35,3.4
645,546,2022,9,Solo,97,4.0
646,594,2024,9,Couples,43,4.4
647,270,2025,6,Couples,52,4.0
648,740,2023,12,Business,21,3.0
649,74,2024,10,Family,63,3.9
650,32,2023,11,Friends,15,4.3
651,832,2023,10,Couples,59,4.7
652,790,2023,1,Solo,63,3.0
653,537,2024,5,Couples,48,3.4
654,229,2023,9,Couples,57,3.6
655,984,2025,1,Business,9,5.0
656,954,2022,5,Family,75,4.9
657,925,2023,1,Couples,24,3.0
658,433,2024,4,Solo,29,2.8
659,404,2024,12,Business,47,3.6
660,997,2023,4,Family,19,2.6
661,154,2023,12,Family,26,3.5
662,993,2024,1,Couples,42,4.1
663,588,2025,3,Family,49,3.5
664,308,2022,6,Family,100,4.5
665,302,2025,8,Friends,100,3.4
666,266,2025,10,Family,80,3.7
667,487,2023,4,Couples,92,4.0
668,90,2024,1,Friends,78,4.9
669,301,2024,3,Solo,84,3.2
670,140,2025,1,Friends,90,2.0
671,728,2025,10,Family,98,3.4
672,746,2024,7,Couples,73,3.7
673,304,2025,4,Friends,2,4.9
674,322,2023,3,Couples,100,4.3
675,509,2022,4,Business,6,4.5
676,734,2025,7,Family,51,3.4
677,19,2025,11,Solo,6,3.6
678,69,2024,3,Couples,11,3.3
679,535,2022,9,Family,53,3.4
680,405,2022,9,Family,72,3.4
681,840,2022,3,Couples,88,4.4
682,806,2022,10,Friends,34,3.0
683,657,2023,3,Family,67,4.5
684,121,2023,5,Business,4,4.5
685,12,2023,2,Couples,81,3.7
686,441,2022,2,Family,12,2.4
687,651,2025,10,Friends,53,4.4
688,874,2022,6,Friends,76,3.3
689,854,2025,2,Business,21,3.6
690,905,2023,6,Friends,1,4.4
691,701,2023,12,Solo,44,3.4
692,563,2025,8,Couples,10,3.9
693,70,2022,7,Family,85,3.3
694,825,2025,10,Couples,96,3.7
695,110,2023,10,Family,52,4.6
696,530,2022,5,Business,47,3.7
697,803,2023,6,Friends,51,4.6
698,542,2022,10,Family,44,2.7
699,177,2023,10,Family,11,2.5
700,601,2023,3,Friends,68,3.9
701,862,2023,7,Couples,19,3.1
702,530,2025,5,Couples,57,3.7
703,182,2024,3,Solo,13,4.3
704,588,2024,12,Solo,2,5.0
705,589,2025,2,Business,86,4.5
706,204,2024,8,Friends,16,3.6
707,329,2024,5,Family,32,4.2
708,169,2023,2,Friends,53,3.2
709,760,2025,12,Friends,7,3.2
710,853,2022,4,Couples,70,3.4
711,26,2022,7,Couples,61,3.0
712,219,2022,7,Solo,40,3.7
713,990,2024,4,Friends,61,3.4
714,300,2023,5,Couples,12,4.5
715,353,2022,12,Family,92,4.7
716,99,2023,2,Friends,69,4.8
717,618,2023,11,Solo,58,3.2
718,568,2022,3,Couples,72,2.9
719,377,2023,5,Couples,15,3.3
720,4,2023,8,Couples,95,3.3
721,215,2023,4,Family,76,4.5
722,939,2023,9,Couples,35,4.1
723,105,2025,9,Business,78,3.2
724,336,2025,5,Couples,76,3.1
725,513,2025,10,Business,39,5.0
726,90,2023,6,Friends,49,4.4
727,132,2024,9,Family,49,3.9
728,744,2024,8,Couples,95,3.8
729,811,2024,8,Family,98,4.2
730,461,2024,4,Solo,15,2.3
731,478,2025,3,Friends,30,3.3
732,311,2025,4,Solo,85,3.8
733,415,2024,6,Family,58,2.5
734,37,2024,2,Couples,77,3.9
735,420,2025,4,Solo,100,3.7
736,706,2024,10,Family,69,3.3
737,297,2024,5,Family,77,3.3
738,128,2022,8,Business,51,2.9
739,881,2022,5,Business,78,3.6
740,296,2024,3,Friends,38,2.9
741,673,2023,8,Solo,13,4.7
742,378,2024,6,Solo,10,2.1
743,71,2024,5,Solo,58,3.8
744,25,2022,8,Family,28,3.4
745,943,2022,3,Family,70,3.2
746,323,2024,6,Business,25,3.9
747,980,2025,2,Couples,52,4.4
748,599,2022,2,Solo,73,2.5
749,504,2023,10,Solo,7,3.6
