TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,Continent,Country_x,City_x,City_y,Country_y,AttractionType,Attraction,AttractionAddress,VisitSeason,UserAverageRating,AttractionAverageRating
23,978,2025,11,Solo,32,4.3,South America,Argentina,Buenos Aires,Buenos Aires,Argentina,Shopping,Buenos Aires Shopping 32,"Main Road, Buenos Aires",Autumn,3.9200000000000004,3.812244897959184
24,426,2025,8,Couples,26,3.9,Australia,Australia,Melbourne,Rome,Italy,Temple,Rome Temple 26,"Main Road, Rome",Summer,4.0,3.829310344827586
25,313,2023,5,Couples,37,3.0,Australia,New Zealand,Auckland,Mumbai,India,Historical Site,Mumbai Historical Site 37,"Main Road, Mumbai",Spring,3.375,3.752173913043478
26,984,2024,3,Solo,49,4.2,Europe,France,Paris,Santiago,Chile,Historical Site,Santiago Historical Site 49,"Main Road, Santiago",Spring,4.125,3.8877551020408165
27,384,2022,9,Business,12,3.4,Africa,Kenya,Nairobi,New York,USA,Historical Site,New York Historical Site 12,"Main Road, New York",Autumn,3.875,3.8160714285714286
28,327,2024,1,Family,86,4.9,Asia,Japan,Tokyo,Cape Town,South Africa,Historical Site,Cape Town Historical Site 86,"Main Road, Cape Town",Winter,4.016666666666667,3.6799999999999997
29,573,2023,12,Friends,61,3.9,Australia,Australia,Sydney,Sydney,Australia,Shopping,Sydney Shopping 61,"Main Road, Sydney",Winter,4.1499999999999995,3.8000000000000003
30,529,2023,6,Friends,98,3.5,North America,USA,Las Vegas,Mombasa,Kenya,Adventure,Mombasa Adventure 98,"Main Road, Mombasa",Summer,3.3666666666666667,4.017543859649122
31,842,2022,2,Friends,85,3.7,Africa,Egypt,Cairo,Rome,Italy,Historical Site,Rome Historical Site 85,"Main Road, Rome",Winter,3.8428571428571425,3.8607843137254902
32,144,2022,7,Family,51,3.7,Africa,Kenya,Nairobi,Mexico City,Mexico,Temple,Mexico City Temple 51,"Main Road, Mexico City",Summer,3.1714285714285713,3.861290322580645
33,344,2023,12,Couples,40,2.3,Australia,Australia,Melbourne,Cape Town,South Africa,Museum,Cape Town Museum 40,"Main Road, Cape Town",Winter,3.84,3.815909090909091
34,277,2023,4,Friends,20,3.8,Asia,Singapore,Singapore,Vancouver,Canada,Wildlife,Vancouver Wildlife 20,"Main Road, Vancouver",Spring,3.733333333333333,3.775
35,214,2025,8,Solo,15,3.6,Africa,South Africa,Cape Town,Jaipur,India,Historical Site,Jaipur Historical Site 15,"Main Road, Jaipur",Summer,3.783333333333333,3.8632653061224493
36,58,2023,1,Business,28,2.7,Asia,Thailand,Pattaya,Rio de Janeiro,Brazil,Beach,Rio de Janeiro Beach 28,"Main Road, Rio de Janeiro",Winter,3.3000000000000003,3.7065217391304346
37,921,2025,12,Family,3,3.1,North America,Mexico,Mexico City,Rio de Janeiro,Brazil,Adventure,Rio de Janeiro Adventure 3,"Main Road, Rio de Janeiro",Winter,3.5142857142857147,3.791111111111111
38,436,2022,11,Couples,23,3.8,South America,Brazil,Rio de Janeiro,Los Angeles,USA,Adventure,Los Angeles Adventure 23,"Main Road, Los Angeles",Autumn,3.88,3.919047619047619
39,915,2024,11,Couples,69,2.5,Australia,New Zealand,Auckland,Johannesburg,South Africa,Shopping,Johannesburg Shopping 69,"Main Road, Johannesburg",Autumn,3.7,3.818032786885246
40,476,2025,5,Family,41,3.9,Asia,Japan,Tokyo,Vancouver,Canada,Beach,Vancouver Beach 41,"Main Road, Vancouver",Spring,3.814285714285714,3.7526315789473683
41,567,2024,8,Family,9,5.0,North America,USA,Las Vegas,Nice,France,Adventure,Nice Adventure 9,"Main Road, Nice",Summer,3.72,3.709803921568627
42,386,2025,3,Couples,7,2.5,Australia,New Zealand,Auckland,Santiago,Chile,Park,Santiago Park 7,"Main Road, Santiago",Spring,3.233333333333333,3.6767857142857143
43,283,2023,1,Family,40,3.7,North America,USA,Los Angeles,Cape Town,South Africa,Museum,Cape Town Museum 40,"Main Road, Cape Town",Winter,3.3333333333333335,3.815909090909091
44,928,2024,5,Family,48,3.6,Africa,South Africa,Cape Town,Nairobi,Kenya,Adventure,Nairobi Adventure 48,"Main Road, Nairobi",Spring,3.6333333333333337,3.845833333333333
45,966,2025,9,Friends,19,4.2,Australia,Australia,Melbourne,Auckland,New Zealand,Park,Auckland Park 19,"Main Road, Auckland",Autumn,4.05,3.689583333333333
46,575,2023,2,Couples,21,3.8,Europe,Italy,Rome,Luxor,Egypt,Temple,Luxor Temple 21,"Main Road, Luxor",Winter,3.38,3.8267857142857147
47,102,2024,7,Business,95,3.4,South America,Chile,Santiago,Singapore,Singapore,Park,Singapore Park 95,"Main Road, Singapore",Summer,3.9,3.819607843137255
48,196,2025,2,Couples,25,4.0,North America,Canada,Vancouver,Cairo,Egypt,Temple,Cairo Temple 25,"Main Road, Cairo",Winter,3.783333333333333,3.595555555555556
49,645,2022,12,Solo,99,3.9,Europe,France,Paris,Toronto,Canada,Adventure,Toronto Adventure 99,"Main Road, Toronto",Winter,4.05,3.735416666666667
50,211,2025,9,Family,60,4.7,Europe,France,Nice,Johannesburg,South Africa,Museum,Johannesburg Museum 60,"Main Road, Johannesburg",Autumn,3.7,3.7857142857142856
51,943,2022,8,Family,73,3.5,North America,Canada,Toronto,Queenstown,New Zealand,Shopping,Queenstown Shopping 73,"Main Road, Queenstown",Summer,3.788888888888889,3.7816666666666667
52,986,2025,8,Business,21,4.5,Australia,New Zealand,Queenstown,Luxor,Egypt,Temple,Luxor Temple 21,"Main Road, Luxor",Summer,3.957142857142857,3.8267857142857147
53,417,2024,4,Solo,85,3.3,Europe,Germany,Munich,Rome,Italy,Historical Site,Rome Historical Site 85,"Main Road, Rome",Spring,4.2,3.8607843137254902
54,75,2024,6,Friends,57,4.2,South America,Brazil,Rio de Janeiro,Queenstown,New Zealand,Beach,Queenstown Beach 57,"Main Road, Queenstown",Summer,3.875,3.8095238095238093
55,620,2023,11,Family,11,4.1,Australia,Australia,Melbourne,Pattaya,Thailand,Beach,Pattaya Beach 11,"Main Road, Pattaya",Autumn,3.7,3.7121951219512193
56,66,2025,8,Business,99,3.2,South America,Argentina,Buenos Aires,Toronto,Canada,Adventure,Toronto Adventure 99,"Main Road, Toronto",Summer,3.8375,3.735416666666667
57,935,2022,4,Couples,70,3.4,Europe,Italy,Rome,Sydney,Australia,Beach,Sydney Beach 70,"Main Road, Sydney",Spring,3.5,3.7588235294117647
58,191,2025,10,Family,67,4.3,Europe,Germany,Munich,Auckland,New Zealand,Historical Site,Auckland Historical Site 67,"Main Road, Auckland",Autumn,3.516666666666667,3.736842105263158
59,806,2024,5,Business,15,4.5,Australia,New Zealand,Auckland,Jaipur,India,Historical Site,Jaipur Historical Site 15,"Main Road, Jaipur",Spring,3.175,3.8632653061224493
60,654,2025,1,Friends,100,2.9,North America,Mexico,Mexico City,Mombasa,Kenya,Wildlife,Mombasa Wildlife 100,"Main Road, Mombasa",Winter,3.7399999999999998,3.75
61,867,2024,2,Friends,77,3.5,North America,Canada,Toronto,Rome,Italy,Temple,Rome Temple 77,"Main Road, Rome",Winter,3.4166666666666665,3.836734693877551
62,558,2023,4,Couples,38,3.0,Europe,Germany,Berlin,Luxor,Egypt,Museum,Luxor Museum 38,"Main Road, Luxor",Spring,3.6799999999999997,3.784313725490196
63,702,2024,11,Family,35,3.6,Australia,Australia,Melbourne,Paris,France,Beach,Paris Beach 35,"Main Road, Paris",Autumn,3.6999999999999997,3.728
64,944,2023,3,Friends,83,4.1,South America,Brazil,Rio de Janeiro,Melbourne,Australia,Wildlife,Melbourne Wildlife 83,"Main Road, Melbourne",Spring,3.716666666666667,3.851282051282051
65,275,2025,4,Solo,73,4.5,South America,Argentina,Buenos Aires,Queenstown,New Zealand,Shopping,Queenstown Shopping 73,"Main Road, Queenstown",Spring,3.88,3.7816666666666667
66,636,2024,4,Business,19,5.0,Africa,South Africa,Johannesburg,Auckland,New Zealand,Park,Auckland Park 19,"Main Road, Auckland",Spring,4.4,3.689583333333333
67,934,2022,4,Business,53,2.5,Africa,Kenya,Nairobi,Milan,Italy,Shopping,Milan Shopping 53,"Main Road, Milan",Spring,3.4714285714285715,3.685106382978723
68,203,2024,9,Couples,53,3.6,Europe,Germany,Berlin,Milan,Italy,Shopping,Milan Shopping 53,"Main Road, Milan",Autumn,4.383333333333334,3.685106382978723
69,222,2025,11,Solo,41,4.1,Europe,Italy,Venice,Vancouver,Canada,Beach,Vancouver Beach 41,"Main Road, Vancouver",Autumn,4.449999999999999,3.7526315789473683
70,622,2022,8,Couples,86,4.4,South America,Chile,Santiago,Cape Town,South Africa,Historical Site,Cape Town Historical Site 86,"Main Road, Cape Town",Summer,4.8,3.6799999999999997
71,695,2022,1,Couples,16,2.7,South America,Chile,Santiago,Sao Paulo,Brazil,Historical Site,Sao Paulo Historical Site 16,"Main Road, Sao Paulo",Winter,3.6166666666666667,3.932758620689655
72,494,2022,5,Business,50,3.5,Australia,New Zealand,Queenstown,Cancun,Mexico,Historical Site,Cancun Historical Site 50,"Main Road, Cancun",Spring,3.283333333333333,3.5078947368421054
73,276,2025,1,Friends,67,3.4,Asia,Thailand,Bangkok,Auckland,New Zealand,Historical Site,Auckland Historical Site 67,"Main Road, Auckland",Winter,3.6333333333333333,3.736842105263158
74,35,2023,8,Solo,81,3.8,Australia,Australia,Melbourne,Luxor,Egypt,Park,Luxor Park 81,"Main Road, Luxor",Summer,4.228571428571429,3.8309090909090906
75,8,2024,8,Couples,45,4.8,Australia,New Zealand,Queenstown,Cairo,Egypt,Park,Cairo Park 45,"Main Road, Cairo",Summer,3.7,3.852830188679245
76,873,2023,4,Family,19,3.6,Australia,New Zealand,Auckland,Auckland,New Zealand,Park,Auckland Park 19,"Main Road, Auckland",Spring,4.275,3.689583333333333
77,232,2024,6,Family,21,3.1,Asia,Thailand,Pattaya,Luxor,Egypt,Temple,Luxor Temple 21,"Main Road, Luxor",Summer,3.542857142857143,3.8267857142857147
78,455,2025,4,Couples,92,4.3,Australia,New Zealand,Auckland,Queenstown,New Zealand,Museum,Queenstown Museum 92,"Main Road, Queenstown",Spring,3.9166666666666665,4.0339285714285715
79,941,2023,12,Solo,67,4.8,Africa,Egypt,Luxor,Auckland,New Zealand,Historical Site,Auckland Historical Site 67,"Main Road, Auckland",Winter,4.25,3.736842105263158
80,769,2024,6,Business,72,4.2,North America,Mexico,Cancun,Luxor,Egypt,Temple,Luxor Temple 72,"Main Road, Luxor",Summer,3.9,3.696296296296296
81,665,2022,12,Family,82,3.7,Australia,New Zealand,Auckland,Sydney,Australia,Temple,Sydney Temple 82,"Main Road, Sydney",Winter,3.9,3.7333333333333334
82,362,2022,1,Family,65,4.0,Australia,Australia,Sydney,Vancouver,Canada,Museum,Vancouver Museum 65,"Main Road, Vancouver",Winter,3.775,3.9294117647058826
83,142,2025,4,Couples,35,3.7,North America,USA,New York,Paris,France,Beach,Paris Beach 35,"Main Road, Paris",Spring,4.32,3.728
84,302,2025,11,Friends,62,3.8,Europe,Italy,Venice,Buenos Aires,Argentina,Park,Buenos Aires Park 62,"Main Road, Buenos Aires",Autumn,3.9555555555555557,3.8065217391304347
85,865,2024,5,Family,90,3.5,Africa,Egypt,Cairo,Nice,France,Temple,Nice Temple 90,"Main Road, Nice",Spring,3.9785714285714286,3.7215686274509805
86,822,2025,5,Couples,9,2.9,Asia,India,Delhi,Nice,France,Adventure,Nice Adventure 9,"Main Road, Nice",Spring,3.85,3.709803921568627
87,529,2022,3,Solo,88,3.5,North America,USA,Las Vegas,Tokyo,Japan,Shopping,Tokyo Shopping 88,"Main Road, Tokyo",Spring,3.3666666666666667,3.901818181818182
88,704,2023,3,Family,11,3.8,Europe,Italy,Venice,Pattaya,Thailand,Beach,Pattaya Beach 11,"Main Road, Pattaya",Spring,3.6,3.7121951219512193
89,127,2022,1,Couples,46,4.2,North America,USA,New York,Jaipur,India,Shopping,Jaipur Shopping 46,"Main Road, Jaipur",Winter,4.2,3.7113636363636364
90,957,2022,1,Friends,12,4.0,Africa,South Africa,Cape Town,New York,USA,Historical Site,New York Historical Site 12,"Main Road, New York",Winter,3.6,3.8160714285714286
91,103,2023,5,Business,92,3.5,Europe,Spain,Madrid,Queenstown,New Zealand,Museum,Queenstown Museum 92,"Main Road, Queenstown",Spring,4.091666666666667,4.0339285714285715
92,431,2022,4,Friends,87,3.9,North America,USA,New York,Vancouver,Canada,Park,Vancouver Park 87,"Main Road, Vancouver",Spring,3.9714285714285715,3.881818181818182
93,962,2023,1,Family,68,3.2,Australia,Australia,Sydney,Toronto,Canada,Shopping,Toronto Shopping 68,"Main Road, Toronto",Winter,3.4875,3.607142857142857
94,412,2025,1,Business,40,3.6,Australia,Australia,Melbourne,Cape Town,South Africa,Museum,Cape Town Museum 40,"Main Road, Cape Town",Winter,3.888888888888889,3.815909090909091
95,378,2022,7,Family,15,4.7,South America,Argentina,Buenos Aires,Jaipur,India,Historical Site,Jaipur Historical Site 15,"Main Road, Jaipur",Summer,3.6454545454545455,3.8632653061224493
96,819,2022,10,Family,75,4.7,Australia,New Zealand,Queenstown,Vancouver,Canada,Park,Vancouver Park 75,"Main Road, Vancouver",Autumn,3.9166666666666665,3.861818181818182
97,563,2022,7,Solo,73,3.4,Europe,Germany,Munich,Queenstown,New Zealand,Shopping,Queenstown Shopping 73,"Main Road, Queenstown",Summer,3.357142857142857,3.7816666666666667
98,514,2023,3,Family,93,4.1,North America,Canada,Vancouver,Auckland,New Zealand,Adventure,Auckland Adventure 93,"Main Road, Auckland",Spring,4.0,3.7888888888888888
99,296,2022,9,Family,2,3.7,Asia,India,Delhi,Sao Paulo,Brazil,Historical Site,Sao Paulo Historical Site 2,"Main Road, Sao Paulo",Autumn,3.7600000000000002,3.727272727272727
100,813,2023,5,Business,79,2.5,Asia,Thailand,Bangkok,Mexico City,Mexico,Historical Site,Mexico City Historical Site 79,"Main Road, Mexico City",Spring,3.5625,3.861224489795918
101,49,2022,7,Friends,95,3.7,South America,Argentina,Buenos Aires,Singapore,Singapore,Park,Singapore Park 95,"Main Road, Singapore",Summer,3.725,3.819607843137255
102,107,2025,3,Business,18,3.3,North America,USA,New York,Madrid,Spain,Historical Site,Madrid Historical Site 18,"Main Road, Madrid",Spring,3.314285714285714,3.7285714285714286
103,73,2023,10,Family,53,3.4,Asia,India,Delhi,Milan,Italy,Shopping,Milan Shopping 53,"Main Road, Milan",Autumn,3.585714285714286,3.685106382978723
104,195,2025,9,Family,28,2.9,Africa,Kenya,Nairobi,Rio de Janeiro,Brazil,Beach,Rio de Janeiro Beach 28,"Main Road, Rio de Janeiro",Autumn,3.2249999999999996,3.7065217391304346
105,360,2025,10,Couples,75,3.7,Europe,France,Paris,Vancouver,Canada,Park,Vancouver Park 75,"Main Road, Vancouver",Autumn,3.733333333333333,3.861818181818182
106,920,2023,8,Couples,39,3.6,Africa,Kenya,Mombasa,Munich,Germany,Shopping,Munich Shopping 39,"Main Road, Munich",Summer,3.6333333333333333,3.965909090909091
107,7,2022,8,Friends,68,3.7,South America,Argentina,Buenos Aires,Toronto,Canada,Shopping,Toronto Shopping 68,"Main Road, Toronto",Summer,3.6166666666666667,3.607142857142857
108,202,2023,12,Business,60,4.1,South America,Argentina,Buenos Aires,Johannesburg,South Africa,Museum,Johannesburg Museum 60,"Main Road, Johannesburg",Winter,3.9,3.7857142857142856
109,479,2023,11,Couples,91,4.5,Asia,India,Jaipur,Singapore,Singapore,Historical Site,Singapore Historical Site 91,"Main Road, Singapore",Autumn,3.75,3.924137931034483
110,930,2025,8,Solo,48,4.9,North America,Canada,Toronto,Nairobi,Kenya,Adventure,Nairobi Adventure 48,"Main Road, Nairobi",Summer,3.966666666666667,3.845833333333333
111,833,2025,1,Business,31,3.5,Africa,Kenya,Nairobi,Queenstown,New Zealand,Historical Site,Queenstown Historical Site 31,"Main Road, Queenstown",Winter,3.6999999999999997,3.663157894736842
112,443,2024,4,Business,67,3.8,North America,Mexico,Cancun,Auckland,New Zealand,Historical Site,Auckland Historical Site 67,"Main Road, Auckland",Spring,3.525,3.736842105263158
113,430,2024,10,Couples,64,3.2,South America,Brazil,Sao Paulo,Madrid,Spain,Beach,Madrid Beach 64,"Main Road, Madrid",Autumn,3.533333333333333,3.8058823529411763
114,245,2023,5,Friends,30,3.5,Europe,Spain,Barcelona,Cape Town,South Africa,Museum,Cape Town Museum 30,"Main Road, Cape Town",Spring,3.38,3.811111111111111
115,549,2025,5,Family,42,3.9,Africa,South Africa,Johannesburg,Singapore,Singapore,Wildlife,Singapore Wildlife 42,"Main Road, Singapore",Spring,4.34,3.706382978723404
116,201,2022,11,Solo,29,3.8,Australia,New Zealand,Auckland,Santiago,Chile,Wildlife,Santiago Wildlife 29,"Main Road, Santiago",Autumn,3.425,3.7943396226415094
117,500,2022,6,Family,17,3.9,Asia,Singapore,Singapore,Buenos Aires,Argentina,Wildlife,Buenos Aires Wildlife 17,"Main Road, Buenos Aires",Summer,3.7571428571428567,3.9155555555555552
118,674,2022,11,Friends,86,3.0,Australia,New Zealand,Auckland,Cape Town,South Africa,Historical Site,Cape Town Historical Site 86,"Main Road, Cape Town",Autumn,3.7285714285714286,3.6799999999999997
119,899,2023,3,Couples,42,5.0,Africa,Egypt,Luxor,Singapore,Singapore,Wildlife,Singapore Wildlife 42,"Main Road, Singapore",Spring,4.1,3.706382978723404
120,533,2024,7,Family,44,3.9,Europe,Spain,Madrid,Rio de Janeiro,Brazil,Temple,Rio de Janeiro Temple 44,"Main Road, Rio de Janeiro",Summer,3.811111111111111,3.825
121,385,2024,8,Solo,92,4.0,South America,Chile,Santiago,Queenstown,New Zealand,Museum,Queenstown Museum 92,"Main Road, Queenstown",Summer,3.8499999999999996,4.0339285714285715
122,996,2022,1,Friends,51,3.5,Australia,New Zealand,Auckland,Mexico City,Mexico,Temple,Mexico City Temple 51,"Main Road, Mexico City",Winter,3.575,3.861290322580645
123,850,2022,8,Family,86,3.5,Australia,Australia,Melbourne,Cape Town,South Africa,Historical Site,Cape Town Historical Site 86,"Main Road, Cape Town",Summer,4.025,3.6799999999999997
124,284,2022,5,Family,5,2.9,Asia,India,Mumbai,Santiago,Chile,Adventure,Santiago Adventure 5,"Main Road, Santiago",Spring,3.733333333333333,3.691111111111111
125,659,2024,5,Family,64,3.4,North America,USA,New York,Madrid,Spain,Beach,Madrid Beach 64,"Main Road, Madrid",Spring,3.75,3.8058823529411763
126,246,2023,11,Family,21,2.3,Africa,Egypt,Cairo,Luxor,Egypt,Temple,Luxor Temple 21,"Main Road, Luxor",Autumn,3.5799999999999996,3.8267857142857147
127,517,2025,4,Family,81,3.8,Africa,Egypt,Cairo,Luxor,Egypt,Park,Luxor Park 81,"Main Road, Luxor",Spring,3.8499999999999996,3.8309090909090906
128,620,2025,6,Family,52,4.3,Australia,Australia,Melbourne,Mombasa,Kenya,Shopping,Mombasa Shopping 52,"Main Road, Mombasa",Summer,3.7,3.9035087719298245
129,762,2023,11,Couples,100,3.4,Asia,Singapore,Singapore,Mombasa,Kenya,Wildlife,Mombasa Wildlife 100,"Main Road, Mombasa",Autumn,3.433333333333333,3.75
130,715,2022,3,Family,64,4.8,South America,Argentina,Buenos Aires,Madrid,Spain,Beach,Madrid Beach 64,"Main Road, Madrid",Spring,4.0,3.8058823529411763
131,691,2023,11,Family,53,4.2,Africa,South Africa,Johannesburg,Milan,Italy,Shopping,Milan Shopping 53,"Main Road, Milan",Autumn,3.7333333333333334,3.685106382978723
132,772,2022,3,Couples,7,4.3,North America,Mexico,Cancun,Santiago,Chile,Park,Santiago Park 7,"Main Road, Santiago",Spring,4.175,3.6767857142857143
133,329,2025,1,Family,72,3.1,Asia,India,Goa,Luxor,Egypt,Temple,Luxor Temple 72,"Main Road, Luxor",Winter,3.85,3.696296296296296
134,575,2024,11,Business,38,3.2,Europe,Italy,Rome,Luxor,Egypt,Museum,Luxor Museum 38,"Main Road, Luxor",Autumn,3.38,3.784313725490196
135,943,2024,7,Business,61,5.0,North America,Canada,Toronto,Sydney,Australia,Shopping,Sydney Shopping 61,"Main Road, Sydney",Summer,3.788888888888889,3.8000000000000003
136,683,2023,10,Business,67,3.6,Africa,Kenya,Nairobi,Auckland,New Zealand,Historical Site,Auckland Historical Site 67,"Main Road, Auckland",Autumn,3.875,3.736842105263158
137,126,2025,12,Friends,21,3.2,Europe,Italy,Venice,Luxor,Egypt,Temple,Luxor Temple 21,"Main Road, Luxor",Winter,3.966666666666667,3.8267857142857147
138,57,2024,3,Solo,94,3.3,Australia,Australia,Sydney,Melbourne,Australia,Temple,Melbourne Temple 94,"Main Road, Melbourne",Spring,3.4875,3.6732142857142853
139,264,2022,8,Couples,26,4.2,Asia,India,Goa,Rome,Italy,Temple,Rome Temple 26,"Main Road, Rome",Summer,3.6999999999999997,3.829310344827586
140,549,2025,8,Friends,13,4.3,Africa,South Africa,Johannesburg,Auckland,New Zealand,Wildlife,Auckland Wildlife 13,"Main Road, Auckland",Summer,4.34,3.8711864406779664
141,128,2024,1,Friends,73,3.3,South America,Brazil,Sao Paulo,Queenstown,New Zealand,Shopping,Queenstown Shopping 73,"Main Road, Queenstown",Winter,4.2124999999999995,3.7816666666666667
142,265,2023,4,Family,34,3.9,South America,Argentina,Buenos Aires,Mombasa,Kenya,Temple,Mombasa Temple 34,"Main Road, Mombasa",Spring,3.6799999999999997,3.764
143,358,2024,8,Business,75,2.5,Asia,Japan,Kyoto,Vancouver,Canada,Park,Vancouver Park 75,"Main Road, Vancouver",Summer,3.966666666666667,3.861818181818182
144,936,2024,2,Friends,17,3.9,Asia,India,Jaipur,Buenos Aires,Argentina,Wildlife,Buenos Aires Wildlife 17,"Main Road, Buenos Aires",Winter,3.3714285714285714,3.9155555555555552
145,656,2023,2,Friends,60,3.0,Asia,India,Goa,Johannesburg,South Africa,Museum,Johannesburg Museum 60,"Main Road, Johannesburg",Winter,3.44,3.7857142857142856
146,290,2024,8,Couples,39,4.2,Europe,Germany,Munich,Munich,Germany,Shopping,Munich Shopping 39,"Main Road, Munich",Summer,4.18,3.965909090909091
147,632,2024,6,Couples,55,2.7,Asia,Thailand,Bangkok,Mumbai,India,Wildlife,Mumbai Wildlife 55,"Main Road, Mumbai",Summer,3.34,3.6921568627450982
148,233,2022,5,Couples,30,3.7,Australia,New Zealand,Auckland,Cape Town,South Africa,Museum,Cape Town Museum 30,"Main Road, Cape Town",Spring,4.0,3.811111111111111
149,787,2022,6,Couples,57,4.3,Asia,Thailand,Bangkok,Queenstown,New Zealand,Beach,Queenstown Beach 57,"Main Road, Queenstown",Summer,3.6555555555555554,3.8095238095238093
150,74,2025,8,Family,10,4.1,North America,Canada,Toronto,Toronto,Canada,Wildlife,Toronto Wildlife 10,"Main Road, Toronto",Summer,3.822222222222222,3.8257575757575757
151,660,2023,2,Friends,32,4.1,North America,USA,Los Angeles,Buenos Aires,Argentina,Shopping,Buenos Aires Shopping 32,"Main Road, Buenos Aires",Winter,3.55,3.812244897959184
152,22,2024,4,Business,30,4.2,Europe,Italy,Rome,Cape Town,South Africa,Museum,Cape Town Museum 30,"Main Road, Cape Town",Spring,4.0,3.811111111111111
153,471,2023,12,Family,8,3.3,Africa,South Africa,Johannesburg,Las Vegas,USA,Museum,Las Vegas Museum 8,"Main Road, Las Vegas",Winter,3.94,3.716279069767442
154,354,2022,12,Family,75,3.5,Europe,France,Nice,Vancouver,Canada,Park,Vancouver Park 75,"Main Road, Vancouver",Winter,4.0,3.861818181818182
